credit_score,annual_income,loan_amount,debt_to_income_ratio,employment_status,home_ownership,loan_status
725,3459606,1533508,0.235,Employed,Rent,1
704,3715329,1221179,0.123,Employed,Rent,0
843,4139625,415000,0.215,Employed,Mortgage,0
673,2497719,2172027,0.136,Employed,Mortgage,0
655,3629673,1267825,0.241,Employed,Rent,1
620,3452219,415000,0.253,Employed,Rent,0
597,7308897,2977293,0.103,Employed,Rent,0
580,7447590,4516943,0.216,Employed,Rent,1
609,4620112,4694646,0.279,Employed,Mortgage,1
674,4084928,2126792,0.081,Self-Employed,Rent,0
707,5329679,1708389,0.264,Employed,Mortgage,0
684,3303732,4191417,0.287,Employed,Mortgage,0
619,2800835,5370930,0.392,Employed,Rent,1
752,3105611,3657644,0.254,Employed,Rent,0
739,3617970,855813,0.135,Employed,Rent,0
667,2777595,1904601,0.24,Self-Employed,Rent,1
628,5389024,2250130,0.248,Self-Employed,Mortgage,0
724,7157671,466045,0.306,Employed,Rent,0
695,2247391,2297606,0.358,Employed,Own,1
564,5032373,8120803,0.233,Self-Employed,Mortgage,0
675,4452037,2589019,0.211,Employed,Mortgage,0
701,5894909,4640032,0.231,Employed,Mortgage,0
608,4937504,1880199,0.197,Self-Employed,Mortgage,1
695,2402518,1571605,0.251,Employed,Own,0
564,2643550,2160241,0.136,Employed,Own,0
787,5043246,934497,0.3,Employed,Rent,0
780,8312201,842533,0.265,Employed,Rent,0
660,2075000,4013797,0.238,Employed,Rent,0
709,5907359,4323055,0.138,Employed,Rent,0
487,9008239,826597,0.127,Employed,Mortgage,0
587,4603512,3257418,0.33,Employed,Rent,1
656,6543222,1556499,0.392,Employed,Mortgage,1
594,3496624,2098406,0.258,Self-Employed,Mortgage,0
737,4681615,2282998,0.418,Employed,Rent,1
840,2209709,3318008,0.315,Self-Employed,Mortgage,1
586,2075000,1752794,0.143,Employed,Rent,0
613,7962273,4439089,0.238,Employed,Mortgage,0
699,3036887,2054250,0.19,Employed,Mortgage,0
809,3957357,2560633,0.263,Employed,Rent,0
582,2484605,923126,0.225,Employed,Mortgage,0
700,2455555,7496145,0.281,Self-Employed,Rent,1
826,4555870,2298353,0.292,Unemployed,Mortgage,0
548,3450559,2724890,0.165,Self-Employed,Mortgage,0
578,6003307,536678,0.218,Employed,Mortgage,0
646,6231391,930015,0.245,Employed,Mortgage,1
638,5834319,3934781,0.273,Employed,Own,0
745,5599263,2022129,0.339,Employed,Mortgage,0
699,10937657,433343,0.137,Self-Employed,Mortgage,0
538,2914047,3421675,0.153,Self-Employed,Mortgage,0
721,4834916,1130543,0.15,Employed,Mortgage,0
634,8755421,4442658,0.327,Unemployed,Mortgage,1
782,9352108,1555586,0.279,Self-Employed,Own,0
630,2441113,1909083,0.155,Employed,Rent,0
629,4251011,3775753,0.222,Unemployed,Rent,0
723,9800059,882539,0.102,Employed,Rent,0
741,6406853,825601,0.114,Employed,Rent,0
716,5479245,1441627,0.135,Employed,Rent,0
545,4457017,2951646,0.314,Employed,Rent,1
723,4101777,651633,0.29,Employed,Mortgage,0
597,5739865,514600,0.158,Unemployed,Rent,1
699,4380408,2944508,0.171,Employed,Rent,1
566,4864879,1084644,0.131,Employed,Mortgage,1
716,5168742,1257035,0.141,Employed,Rent,0
615,3540614,450939,0.167,Employed,Mortgage,0
577,6484375,1028453,0.243,Self-Employed,Mortgage,0
737,16600000,1645475,0.217,Employed,Own,0
699,2075000,3172758,0.084,Unemployed,Mortgage,1
631,5843532,964128,0.138,Employed,Rent,0
796,3398186,5277721,0.263,Employed,Rent,1
645,6632862,1024469,0.237,Employed,Own,0
683,5086572,1025465,0.174,Employed,Mortgage,0
702,7273622,4852429,0.261,Unemployed,Mortgage,1
630,8944910,1918130,0.172,Employed,Mortgage,0
718,5471443,1123986,0.292,Employed,Rent,0
637,8752682,1483957,0.252,Employed,Mortgage,0
647,2075000,4265204,0.181,Self-Employed,Mortgage,0
789,11007294,4616626,0.432,Employed,Own,0
597,5994592,933833,0.205,Self-Employed,Rent,0
487,8518622,1605801,0.319,Self-Employed,Mortgage,1
809,2700405,1762007,0.307,Employed,Rent,0
850,3280326,829419,0.132,Employed,Own,0
648,5345698,1590944,0.168,Employed,Rent,0
525,4927378,1660415,0.354,Employed,Mortgage,1
655,5725091,3674742,0.18,Unemployed,Rent,1
657,8547091,3851781,0.245,Employed,Mortgage,1
665,2075000,1313724,0.16,Self-Employed,Mortgage,0
591,8086856,1424114,0.267,Employed,Rent,1
726,4990209,2633590,0.162,Employed,Own,0
722,4488142,1098256,0.301,Self-Employed,Own,0
560,2381602,2497719,0.255,Employed,Own,0
736,6390751,1555503,0.269,Employed,Rent,0
844,2075000,839213,0.333,Employed,Mortgage,0
694,6872483,846683,0.244,Employed,Mortgage,0
653,2356702,4555206,0.191,Self-Employed,Mortgage,1
669,5104168,1482629,0.122,Employed,Mortgage,0
729,4682113,5215222,0.301,Self-Employed,Mortgage,1
542,8918267,1154613,0.333,Employed,Rent,1
693,4544914,2028271,0.397,Employed,Mortgage,0
649,3512228,8300000,0.284,Employed,Rent,1
828,3857508,789081,0.138,Self-Employed,Rent,0
666,9391201,438157,0.374,Employed,Rent,0
813,6497904,4071233,0.179,Employed,Rent,0
592,4098042,927359,0.18,Employed,Mortgage,0
727,4415434,1630452,0.265,Employed,Mortgage,0
706,2269884,1097675,0.168,Self-Employed,Rent,0
610,6034930,1995818,0.273,Employed,Mortgage,1
694,2075000,850418,0.188,Unemployed,Own,0
777,7237185,1458476,0.336,Employed,Own,0
654,5299633,2266398,0.286,Employed,Own,0
545,16392168,816720,0.131,Employed,Own,0
679,2866986,1013347,0.301,Self-Employed,Mortgage,0
608,4720874,1297124,0.202,Employed,Own,0
653,12212703,608473,0.416,Employed,Own,0
673,9016207,1230641,0.194,Employed,Rent,0
544,3508659,1797697,0.27,Employed,Own,0
551,5558427,1250644,0.215,Employed,Mortgage,1
719,4974522,1368006,0.163,Unemployed,Mortgage,0
638,5721937,1631365,0.21,Employed,Own,0
475,3504260,1045302,0.29,Employed,Rent,0
743,4752497,2683390,0.199,Employed,Mortgage,0
702,2235107,4520014,0.156,Employed,Mortgage,1
623,5316897,1195117,0.281,Employed,Mortgage,0
575,6223589,2323253,0.171,Unemployed,Own,1
747,4435437,1398799,0.29,Employed,Own,0
708,2216183,2136503,0.266,Self-Employed,Mortgage,0
850,8146533,4949954,0.238,Employed,Own,0
714,5963135,2361765,0.304,Self-Employed,Rent,0
711,3456701,478080,0.378,Employed,Own,0
667,4318988,2273038,0.256,Unemployed,Rent,0
745,2346659,3920920,0.18,Employed,Mortgage,0
730,2976131,1416561,0.331,Employed,Rent,0
780,3797831,3320996,0.289,Employed,Mortgage,0
638,9184697,1020485,0.265,Employed,Rent,0
645,3609504,584735,0.109,Employed,Rent,0
642,6844429,1826000,0.292,Employed,Mortgage,0
743,3796835,483724,0.21,Self-Employed,Mortgage,0
800,5625491,1398633,0.082,Self-Employed,Rent,0
643,4630321,4071980,0.068,Employed,Mortgage,0
646,7689535,434505,0.17,Self-Employed,Rent,0
705,3803475,675454,0.084,Employed,Rent,0
660,2263825,803274,0.236,Employed,Rent,0
756,2490166,1582478,0.108,Employed,Mortgage,0
500,3809119,1280607,0.195,Employed,Mortgage,0
614,2661229,4404976,0.184,Employed,Mortgage,1
617,6100915,3226459,0.149,Employed,Own,1
494,3937105,2339687,0.184,Employed,Mortgage,0
603,16291323,1831727,0.182,Employed,Mortgage,0
607,2084379,2178418,0.318,Self-Employed,Own,1
664,5502153,904783,0.402,Employed,Rent,0
769,2827395,3014311,0.341,Self-Employed,Rent,1
660,3883072,759533,0.13,Employed,Rent,0
598,5333663,2968578,0.306,Employed,Mortgage,0
675,2075000,3794760,0.337,Employed,Mortgage,1
764,5594283,1917300,0.093,Self-Employed,Rent,0
602,12868486,1462294,0.175,Employed,Own,0
607,3961424,2189208,0.293,Employed,Own,0
725,5658940,415000,0.164,Self-Employed,Rent,0
662,8296182,2044041,0.332,Self-Employed,Rent,0
732,4578446,1528030,0.264,Employed,Rent,0
679,3716740,1596588,0.275,Employed,Rent,1
736,2075000,2712606,0.359,Employed,Own,0
597,6847085,1569862,0.32,Employed,Mortgage,0
679,4696140,744676,0.127,Self-Employed,Rent,0
663,2995138,1498316,0.164,Employed,Mortgage,0
583,5294321,1734285,0.245,Employed,Rent,0
555,3711677,1792800,0.158,Employed,Mortgage,0
735,3815676,1852726,0.263,Employed,Mortgage,0
652,6729308,3424248,0.262,Employed,Mortgage,1
598,2545029,773477,0.128,Employed,Mortgage,0
672,8389557,1870737,0.244,Employed,Own,0
770,2470661,4080778,0.154,Employed,Rent,1
498,3567921,491194,0.18,Employed,Mortgage,0
560,12998132,1875883,0.244,Employed,Rent,1
606,8732098,1098090,0.313,Employed,Rent,0
797,5218127,1276125,0.134,Employed,Own,0
703,3105196,878057,0.312,Self-Employed,Mortgage,0
741,3814099,1469100,0.259,Unemployed,Rent,0
589,5154964,6002726,0.244,Unemployed,Mortgage,1
590,5063664,682675,0.191,Employed,Mortgage,0
716,4748845,729487,0.249,Employed,Own,0
685,4893514,664996,0.141,Employed,Mortgage,0
724,4464404,5542906,0.188,Self-Employed,Rent,0
665,2416545,1196860,0.312,Employed,Mortgage,1
702,3838501,1624808,0.256,Employed,Rent,0
693,7850970,1247822,0.267,Employed,Rent,1
742,2507181,854070,0.495,Employed,Mortgage,0
745,4520180,1403198,0.181,Self-Employed,Mortgage,0
550,3298420,8300000,0.274,Employed,Rent,1
500,5254066,4383230,0.136,Employed,Mortgage,0
760,4091900,910510,0.364,Unemployed,Mortgage,1
775,10402307,2602880,0.209,Employed,Mortgage,0
598,6402039,924288,0.23,Employed,Rent,0
531,2579059,477084,0.098,Employed,Rent,0
688,6951416,3377021,0.214,Employed,Rent,0
754,3373701,3726202,0.131,Employed,Rent,0
824,3724127,3440350,0.419,Employed,Rent,0
721,5813818,1190552,0.205,Unemployed,Rent,0
650,3886309,1471922,0.15,Employed,Rent,0
609,7766061,2795938,0.211,Employed,Rent,0
681,3373950,2175762,0.166,Employed,Own,0
656,3646854,1255790,0.07,Unemployed,Mortgage,0
599,3579209,532611,0.383,Employed,Rent,0
844,3745375,1791472,0.296,Unemployed,Own,1
823,8610005,3520611,0.224,Employed,Rent,0
771,6805502,715377,0.194,Employed,Mortgage,0
606,11684989,2586944,0.146,Self-Employed,Own,0
748,15442980,2086371,0.089,Employed,Mortgage,0
731,2968246,2796685,0.12,Employed,Rent,0
715,5147660,3045685,0.309,Unemployed,Rent,1
780,2759999,1017331,0.285,Employed,Mortgage,0
731,3368721,533358,0.185,Employed,Mortgage,0
739,3626602,1138677,0.18,Self-Employed,Mortgage,0
731,2929236,3082454,0.206,Unemployed,Mortgage,0
707,2936955,1131954,0.102,Unemployed,Rent,0
537,4623681,1017663,0.102,Self-Employed,Mortgage,1
687,2704638,462227,0.243,Employed,Rent,0
636,7571509,5641676,0.217,Unemployed,Own,1
578,3140720,2948575,0.181,Employed,Mortgage,0
815,16600000,2835612,0.184,Employed,Mortgage,0
818,3965491,3256754,0.168,Employed,Mortgage,0
789,5151727,2476969,0.158,Self-Employed,Rent,0
700,2600390,1394151,0.346,Employed,Rent,1
788,11662496,1475076,0.114,Self-Employed,Mortgage,0
681,8697902,1226325,0.145,Employed,Mortgage,0
696,5764931,8300000,0.43,Employed,Mortgage,1
593,2534322,2441113,0.315,Employed,Own,0
712,5521575,1195615,0.194,Employed,Rent,0
685,2836608,2291464,0.253,Employed,Rent,0
576,10324370,815226,0.205,Employed,Mortgage,0
676,7447839,4742122,0.319,Employed,Rent,1
674,5212483,1041401,0.16,Employed,Rent,1
824,2075000,2349232,0.147,Employed,Own,0
752,3039294,3488656,0.187,Employed,Own,0
681,7009101,2165553,0.34,Employed,Own,0
700,9113649,1767319,0.118,Employed,Rent,1
684,8653082,1666806,0.312,Employed,Rent,0
664,2241913,1590114,0.215,Employed,Mortgage,0
593,5778294,1104813,0.168,Employed,Own,1
668,8257255,1207650,0.347,Employed,Rent,1
620,2168790,4660118,0.144,Employed,Rent,0
580,4949954,1533176,0.315,Employed,Rent,0
721,5698780,954334,0.304,Employed,Mortgage,0
711,4275662,1152455,0.225,Employed,Mortgage,0
537,2075000,3573648,0.469,Employed,Mortgage,1
670,4222708,2654506,0.129,Unemployed,Rent,0
760,4219305,2448749,0.157,Employed,Mortgage,0
765,4614883,1381369,0.275,Employed,Mortgage,0
762,3749359,2471159,0.344,Unemployed,Rent,1
683,3982174,1054266,0.404,Employed,Rent,0
612,4871851,1379294,0.352,Employed,Mortgage,0
593,6200017,3261485,0.285,Self-Employed,Rent,1
708,4267860,3050582,0.364,Employed,Own,0
710,4049155,831909,0.107,Self-Employed,Mortgage,0
783,5204432,908850,0.149,Employed,Rent,0
768,2075000,1784998,0.116,Employed,Mortgage,0
669,6308166,5537926,0.231,Employed,Mortgage,0
580,4968131,432762,0.272,Employed,Rent,0
654,5069142,2010094,0.134,Unemployed,Mortgage,0
697,8034151,631381,0.279,Employed,Rent,0
664,2075000,1061072,0.215,Employed,Rent,0
634,2075000,1281769,0.216,Employed,Mortgage,0
700,5698697,1232384,0.25,Self-Employed,Mortgage,0
640,4951863,1138428,0.222,Employed,Rent,1
630,5410936,1662573,0.212,Self-Employed,Rent,0
705,3944243,1137266,0.109,Employed,Mortgage,0
648,6927595,594280,0.128,Self-Employed,Rent,0
700,7922018,2855449,0.105,Employed,Own,0
702,6330161,2801997,0.156,Employed,Mortgage,0
589,4361899,2984846,0.308,Employed,Own,0
642,2075000,562574,0.152,Employed,Rent,0
795,7300514,2039227,0.188,Employed,Own,0
587,9154070,2655170,0.256,Employed,Rent,0
511,6859286,803689,0.219,Self-Employed,Rent,0
531,3201144,1664897,0.174,Self-Employed,Rent,1
682,6960297,1524959,0.264,Self-Employed,Rent,0
682,7641478,6006461,0.251,Unemployed,Own,1
671,10834488,6362863,0.312,Unemployed,Mortgage,0
777,3206788,515928,0.169,Employed,Mortgage,0
466,4437512,8300000,0.18,Employed,Mortgage,0
712,7220834,871666,0.217,Self-Employed,Mortgage,0
805,5114294,3286468,0.158,Unemployed,Mortgage,0
590,2842418,3263062,0.161,Unemployed,Own,0
650,6114361,823941,0.258,Self-Employed,Mortgage,0
620,6637012,2336450,0.361,Employed,Mortgage,0
608,5192978,1534255,0.209,Unemployed,Rent,0
654,5546226,2438457,0.21,Unemployed,Own,0
794,4366547,1944109,0.165,Employed,Rent,0
827,10406872,3821984,0.349,Self-Employed,Rent,0
653,3167612,1743913,0.096,Employed,Own,0
832,3704954,1470843,0.334,Unemployed,Rent,1
683,4996932,3562941,0.332,Employed,Rent,0
820,7712194,2483360,0.213,Self-Employed,Rent,0
673,2350560,2760995,0.162,Employed,Mortgage,0
690,2581051,1038828,0.294,Employed,Own,0
709,2075000,795804,0.289,Employed,Own,0
850,5051463,1111702,0.237,Employed,Mortgage,0
748,2841090,1071198,0.102,Employed,Own,0
623,4100283,2868148,0.374,Unemployed,Mortgage,0
758,6917220,3275678,0.195,Employed,Own,0
651,3605852,1483957,0.263,Self-Employed,Rent,0
641,5578762,4503995,0.09,Employed,Mortgage,0
753,4278733,4311352,0.101,Employed,Rent,0
682,6954487,1961539,0.115,Self-Employed,Rent,0
702,6302190,930513,0.269,Self-Employed,Mortgage,0
681,3516129,4983320,0.339,Employed,Rent,1
707,4567656,1585051,0.099,Self-Employed,Mortgage,0
714,8374617,1806993,0.23,Self-Employed,Mortgage,0
525,6049787,1304262,0.358,Employed,Rent,0
733,2471574,887353,0.083,Unemployed,Mortgage,0
601,6897383,591707,0.368,Self-Employed,Mortgage,1
565,2889313,2576237,0.064,Employed,Own,0
675,10070224,955911,0.23,Employed,Rent,0
687,8292696,8300000,0.154,Employed,Own,0
625,5744679,773394,0.2,Employed,Own,0
746,5375993,685995,0.247,Self-Employed,Mortgage,0
573,4476356,2364172,0.315,Self-Employed,Rent,0
647,6976814,4825205,0.376,Employed,Mortgage,1
633,4128586,1730716,0.302,Employed,Own,0
676,5590797,2469250,0.208,Employed,Rent,0
702,7685219,455172,0.141,Employed,Own,0
599,3752513,1029532,0.19,Unemployed,Own,1
738,3651834,780200,0.163,Employed,Mortgage,0
685,2735016,438987,0.265,Employed,Mortgage,0
529,2918529,1795373,0.098,Employed,Mortgage,0
523,2075000,415000,0.182,Employed,Mortgage,0
679,7158086,655617,0.162,Self-Employed,Own,0
662,12277692,1135772,0.254,Unemployed,Rent,0
672,10134964,924454,0.373,Employed,Rent,1
678,2204065,2183232,0.228,Employed,Rent,0
698,7140324,2048772,0.194,Employed,Own,0
756,10118696,3092497,0.416,Employed,Rent,0
591,3954784,2801084,0.202,Employed,Own,0
586,5228170,3676236,0.15,Employed,Mortgage,0
593,2075000,1652032,0.112,Self-Employed,Rent,1
703,5678528,2045701,0.199,Employed,Own,0
780,2919940,2366413,0.291,Employed,Mortgage,0
645,5491197,1826664,0.225,Employed,Rent,0
480,2276690,1252719,0.15,Self-Employed,Rent,0
544,6519235,1310736,0.149,Employed,Rent,0
613,8294439,933335,0.293,Employed,Rent,0
635,3359342,2222159,0.299,Self-Employed,Rent,1
647,2814696,1548863,0.428,Employed,Mortgage,1
683,2075000,1039907,0.23,Unemployed,Rent,0
655,4349781,1040571,0.143,Employed,Rent,0
764,3715578,708986,0.18,Self-Employed,Rent,0
626,2288310,3282235,0.194,Unemployed,Mortgage,0
611,6232885,1747814,0.336,Employed,Own,0
718,3968313,904285,0.118,Employed,Rent,0
557,2902178,2913383,0.157,Employed,Rent,0
711,3766125,1117429,0.173,Self-Employed,Mortgage,0
688,8490817,618018,0.237,Unemployed,Own,0
668,6718020,3381088,0.327,Self-Employed,Mortgage,0
807,4656715,1135855,0.208,Unemployed,Own,0
630,6772551,1242510,0.178,Employed,Own,0
845,2781164,1702579,0.116,Employed,Mortgage,0
662,5050633,3680884,0.231,Employed,Own,0
578,5349433,1677596,0.177,Self-Employed,Rent,0
686,3929137,714547,0.069,Self-Employed,Own,0
594,6178437,2420695,0.346,Employed,Own,1
620,3363907,1178019,0.315,Employed,Own,0
712,6412414,6202009,0.378,Employed,Mortgage,1
724,6548617,1652945,0.291,Self-Employed,Mortgage,0
630,2075000,415000,0.271,Unemployed,Rent,1
759,9011310,2124385,0.24,Employed,Mortgage,0
773,2075000,6453001,0.247,Employed,Rent,0
795,3652083,4985229,0.198,Employed,Mortgage,0
722,8297925,5959566,0.198,Employed,Mortgage,0
789,4240553,810163,0.338,Unemployed,Rent,0
530,2387495,3132503,0.275,Employed,Rent,1
655,2876199,997909,0.207,Employed,Rent,0
611,8304399,1935477,0.068,Employed,Mortgage,0
690,2075000,678608,0.188,Employed,Mortgage,0
634,8739236,1053602,0.271,Unemployed,Mortgage,0
667,4834501,1030445,0.382,Employed,Rent,0
831,2737755,3102872,0.23,Employed,Own,0
666,3712756,2897447,0.123,Employed,Mortgage,0
713,2988332,2007936,0.209,Unemployed,Rent,0
661,7663307,642752,0.267,Unemployed,Rent,1
686,7167382,1329992,0.189,Employed,Mortgage,0
680,2103801,981226,0.231,Employed,Rent,0
716,4061439,3040788,0.153,Employed,Rent,0
773,3227621,3773678,0.148,Employed,Rent,0
812,9488560,3465333,0.302,Employed,Rent,0
705,2530172,975001,0.156,Self-Employed,Rent,0
727,11083322,415000,0.073,Unemployed,Rent,0
588,4887538,480238,0.153,Employed,Own,0
673,2779753,4474862,0.215,Employed,Mortgage,0
755,3542025,1249150,0.312,Employed,Mortgage,0
749,3328466,978072,0.184,Employed,Mortgage,0
697,2627448,5223605,0.242,Employed,Mortgage,0
751,5210823,4010643,0.138,Employed,Rent,0
719,2689532,1682742,0.192,Unemployed,Rent,0
776,2075000,1347090,0.325,Employed,Rent,0
703,4110243,1508110,0.235,Self-Employed,Mortgage,0
652,2075000,1939295,0.303,Employed,Mortgage,0
707,3411798,5070138,0.209,Employed,Rent,1
446,3154332,2223404,0.267,Employed,Mortgage,1
711,3214673,2749873,0.257,Unemployed,Own,0
388,13515139,3750272,0.156,Employed,Rent,1
542,5111721,729487,0.1,Employed,Mortgage,1
716,5618187,2805898,0.142,Self-Employed,Mortgage,0
718,2075000,1346011,0.135,Self-Employed,Mortgage,0
587,3583525,415000,0.257,Employed,Mortgage,0
623,5534357,415000,0.24,Employed,Mortgage,0
790,2977459,811076,0.117,Employed,Rent,0
641,7825323,2399281,0.177,Self-Employed,Mortgage,0
850,2723645,1791389,0.261,Employed,Own,0
680,4306621,1882108,0.242,Employed,Rent,0
713,3707278,6481719,0.268,Employed,Own,1
809,5395083,680434,0.234,Employed,Rent,0
690,3607761,1622733,0.381,Unemployed,Mortgage,0
600,4340070,2047112,0.093,Self-Employed,Mortgage,1
671,4416098,988032,0.16,Employed,Mortgage,0
677,3442259,1687390,0.23,Unemployed,Own,0
571,6333647,539749,0.235,Employed,Rent,0
660,5598682,4438259,0.297,Employed,Mortgage,0
621,4754157,1026544,0.425,Employed,Mortgage,1
754,4007240,6857294,0.336,Self-Employed,Own,0
683,7400944,1617006,0.237,Employed,Mortgage,0
657,4416762,3397273,0.093,Employed,Own,0
672,4263046,1593600,0.154,Self-Employed,Own,0
698,5236636,1618998,0.222,Employed,Rent,0
729,11607135,1099086,0.214,Unemployed,Own,0
600,2542539,1798112,0.319,Employed,Own,0
597,7302838,2066617,0.309,Employed,Rent,0
768,2075000,955413,0.238,Employed,Mortgage,0
647,5539835,1515580,0.179,Employed,Rent,0
567,10923049,1079249,0.113,Employed,Mortgage,0
716,6345018,8273772,0.151,Employed,Rent,1
717,5412098,1553511,0.165,Unemployed,Mortgage,0
558,3755086,4879238,0.181,Self-Employed,Mortgage,1
698,5047313,1442540,0.196,Self-Employed,Mortgage,0
739,4381072,1983451,0.137,Employed,Rent,0
710,3354611,655949,0.231,Employed,Mortgage,0
731,4299068,1209725,0.108,Employed,Mortgage,0
568,5487794,1916885,0.14,Employed,Mortgage,0
706,3386234,5020504,0.201,Self-Employed,Rent,1
656,3320747,1932323,0.141,Employed,Rent,0
641,2517390,4357666,0.112,Employed,Mortgage,1
750,6041736,2590513,0.381,Employed,Own,0
798,6527286,5168161,0.246,Employed,Rent,0
824,5579841,1587209,0.166,Employed,Mortgage,0
785,8051996,8300000,0.292,Employed,Rent,1
671,5192729,1177687,0.297,Employed,Mortgage,0
708,6045637,967365,0.216,Employed,Rent,0
741,5784851,709152,0.306,Employed,Mortgage,0
690,4747185,8300000,0.145,Self-Employed,Rent,1
690,3811111,2935710,0.214,Employed,Rent,0
746,15035367,1309242,0.307,Employed,Rent,0
